"Site","Easting","Northing","start_date","end_date"
"Cell R11",656028,5654950,2014-07-28,"2014-08-27"
"Cell R11",656028,5654950,2014-08-27,"2014-09-25"
"Cell R11",656028,5654950,2014-09-25,"2014-10-28"
"Cell R111",661769,5578588,2014-06-21,"2014-07-29"
"Cell R111",661769,5578588,2014-07-29,"2014-08-26"
"Cell R111",661769,5578588,2014-08-26,"2014-09-27"
"Cell R111",661769,5578588,2014-09-27,"2014-10-30"
"Cell R112",669167,5577396,2014-05-28,"2014-07-10"
"Cell R112",669167,5577396,2014-07-10,"2014-08-13"
"Cell R112",669167,5577396,2014-08-13,"2014-09-17"
"Cell R112",669167,5577396,2014-09-17,"2014-10-10"
"Cell R112",669167,5577396,2014-10-10,"2014-11-18"
"Cell R113",672713,5574180,2014-05-18,"2014-06-13"
"Cell R113",672713,5574180,2014-06-13,"2014-07-10"
